match_id,match_seq_num,start_time,account_id,player_slot,hero_id
1341748416,1427080161,1203104385,100638385,0,40
1341748416,1427080161,1203104385,16845233,1,64
1341748416,1427080161,1203104385,4294967295,2,72
1341748416,1427080161,1203104385,106087752,3,62
1341748416,1427080161,1203104385,45510094,4,111
1341748416,1427080161,1203104385,61729304,128,18
1341748416,1427080161,1203104385,1234239,129,19
1341748416,1427080161,1203104385,10910282,130,84
1341748416,1427080161,1203104385,43501498,131,76
1341748416,1427080161,1203104385,45169223,132,17
1341684878,1427076653,1203039814,58294553,0,95
1341684878,1427076653,1203039814,41385904,1,22
1341684878,1427076653,1203039814,100131876,2,97
1341684878,1427076653,1203039814,155421122,3,25
1341684878,1427076653,1203039814,136322897,4,45
1341684878,1427076653,1203039814,74683094,128,72
1341684878,1427076653,1203039814,1234239,129,17
1341684878,1427076653,1203039814,10910282,130,60
1341684878,1427076653,1203039814,43501498,131,88
1341684878,1427076653,1203039814,45169223,132,47
1341631938,1427073346,1202991916,28249290,0,15
1341631938,1427073346,1202991916,1234239,1,109
1341631938,1427073346,1202991916,10910282,2,20
1341631938,1427073346,1202991916,43501498,3,48
1341631938,1427073346,1202991916,45169223,4,30
1341631938,1427073346,1202991916,4294967295,128,19
1341631938,1427073346,1202991916,4294967295,129,13
1341631938,1427073346,1202991916,4294967295,130,1
1341631938,1427073346,1202991916,87137683,131,110
1341631938,1427073346,1202991916,4294967295,132,111
1338240381,1426963281,1199894662,125751847,0,28
1338240381,1426963281,1199894662,4294967295,1,6
1338240381,1426963281,1199894662,4294967295,2,83
1338240381,1426963281,1199894662,146884934,3,45
1338240381,1426963281,1199894662,117371648,4,42
1338240381,1426963281,1199894662,1234239,128,14
1338240381,1426963281,1199894662,45169223,129,16
1338240381,1426963281,1199894662,43501498,130,53
1338240381,1426963281,1199894662,123808231,131,60
1338240381,1426963281,1199894662,98681688,132,32
1338138829,1426960583,1199797726,4294967295,0,20
1338138829,1426960583,1199797726,190338193,1,17
1338138829,1426960583,1199797726,4294967295,2,96
1338138829,1426960583,1199797726,99497421,3,23
1338138829,1426960583,1199797726,4294967295,4,63
1338138829,1426960583,1199797726,112974978,128,58
1338138829,1426960583,1199797726,1234239,129,14
1338138829,1426960583,1199797726,45169223,130,112
1338138829,1426960583,1199797726,43501498,131,86
1338138829,1426960583,1199797726,125016922,132,94
1335832185,1426900692,1197692848,64871311,0,2
1335832185,1426900692,1197692848,46038774,1,89
1335832185,1426900692,1197692848,22301861,2,9
1335832185,1426900692,1197692848,22719123,3,17
1335832185,1426900692,1197692848,26154153,4,21
1335832185,1426900692,1197692848,86780838,128,35
1335832185,1426900692,1197692848,13881146,129,25
1335832185,1426900692,1197692848,85677014,130,40
1335832185,1426900692,1197692848,10910282,131,47
1335832185,1426900692,1197692848,1234239,132,14
1333282835,1426822943,1195396772,4294967295,0,26
1333282835,1426822943,1195396772,4294967295,1,17
1333282835,1426822943,1195396772,4294967295,2,77
1333282835,1426822943,1195396772,197763097,3,65
1333282835,1426822943,1195396772,100973356,4,8
1333282835,1426822943,1195396772,57338524,128,13
1333282835,1426822943,1195396772,85049336,129,95
1333282835,1426822943,1195396772,100520316,130,2
1333282835,1426822943,1195396772,10910282,131,47
1333282835,1426822943,1195396772,1234239,132,14
1328263513,1426639402,1190986097,4958877,0,87
1328263513,1426639402,1190986097,38459918,1,35
1328263513,1426639402,1190986097,44015232,2,9
1328263513,1426639402,1190986097,77110570,3,51
1328263513,1426639402,1190986097,251011340,4,8
1328263513,1426639402,1190986097,100225200,128,75
1328263513,1426639402,1190986097,86755623,129,93
1328263513,1426639402,1190986097,1234239,130,14
1328263513,1426639402,1190986097,10910282,131,47
1328263513,1426639402,1190986097,4294967295,132,25
1326183230,1426566099,1189125905,104491374,0,42
1326183230,1426566099,1189125905,4294967295,1,46
1326183230,1426566099,1189125905,1234239,2,14
1326183230,1426566099,1189125905,10910282,3,47
1326183230,1426566099,1189125905,4294967295,4,56
1326183230,1426566099,1189125905,66588429,128,15
1326183230,1426566099,1189125905,42282904,129,16
1326183230,1426566099,1189125905,4294967295,130,26
1326183230,1426566099,1189125905,133446015,131,95
1326183230,1426566099,1189125905,55482778,132,71
1325938944,1426551315,1188901062,4294967295,0,14
1325938944,1426551315,1188901062,86737652,1,107
1325938944,1426551315,1188901062,4294967295,2,75
1325938944,1426551315,1188901062,4294967295,3,11
1325938944,1426551315,1188901062,4294967295,4,5
1325938944,1426551315,1188901062,16451335,128,84
1325938944,1426551315,1188901062,1234239,129,42
1325938944,1426551315,1188901062,10910282,130,47
1325938944,1426551315,1188901062,4294967295,131,93
1325938944,1426551315,1188901062,194935652,132,95
1323887051,1426480439,1187144729,37705583,0,90
1323887051,1426480439,1187144729,119759913,1,105
